old_path,parent_frame,unicode,next_frame,real_heisig
05-strokes/p020-eye.svg,15,⺫,16,
01-strokes/p027.1-walking_stick.svg,,丨,35,
01-strokes/p027.2-a_drop_of.svg,,丶,35,
10-strokes/p031-acupuncturist.svg,48,尃,49,
02-strokes/p032-divining_rod.svg,,⼘,49,
08-strokes/p034-mist.svg,,𠦝!龺,53,
02-strokes/p035.1-animal_legs.svg,,ハ,55,
02-strokes/p035.2-human_legs.svg,,儿,55,
02-strokes/p036.1-wind.svg,,几,55,
02-strokes/p036.2-bound_up.svg,,勹,55,
02-strokes/p036.3-bound_up-small.svg,^,⺈,55,
02-strokes/p036.4-horns.svg,,丷,55,
01-strokes/p044.1-hook-right.svg,75,⺃,76,
01-strokes/p044.2-hook-bottom.svg,75,!𠃊,76,
03-strokes/p045-tool.svg,,,78,
02-strokes/p046-by_ones_side.svg,,!𠂇,80,
02-strokes/p048-saber.svg,87,⺉,88,
09-strokes/p050-wealth.svg,,畐,93,
04-strokes/p054-mama.svg,105,⽏,106,
04-strokes/p055-mama-top.svg,105,,106,
03-strokes/p057-little-top.svg,110,⺌,111,
02-strokes/p059-cliff.svg,,厂,118,
03-strokes/p064.1-flood-top.svg,134,⼮,135,
03-strokes/p064.2-flood-bottom.svg,134,,135,
03-strokes/p065-water.svg,137,⺡,138,
08-strokes/p066-spring.svg,140,,141,
04-strokes/p076-fire.svg,173,⺣,174,
02-strokes/p083-hood.svg,,冂,192,
03-strokes/p085-house.svg,,宀,197,
04-strokes/p088-pole.svg,207,ホ~朩,208,
03-strokes/p097-flower.svg,,艹,237,
10-strokes/p099-graveyard.svg,,莫,244,2242
03-strokes/p104-turtle.svg,250,⺦,251,
03-strokes/p105-pack_of_wild_dogs.svg,253,⺨,254,
04-strokes/p107.1-cow-top.svg,260,⺧,261,
04-strokes/p107.2-cow-left.svg,260,牜,261,
02-strokes/p109-umbrella.svg,,𠆢,265,
03-strokes/p110-meeting.svg,,~亼,269,
03-strokes/p122-road.svg,,⻌,295,
06-strokes/p125.1-butcher.svg,306,刖~俞,307,
03-strokes/p125.2-walking_legs.svg,,夂,311,
02-strokes/p128-crown.svg,,冖,321,
02-strokes/p130.1-top_hat.svg,,亠,328,
04-strokes/p130.2-whirlwind.svg,,亢,328,
05-strokes/p131-tall.svg,329,,330,
06-strokes/p133-lidded_crock.svg,,𠮷,338,
05-strokes/p135-schoolhouse.svg,,!!𰃮,346,
06-strokes/p136.1-brush.svg,,⾀,349,
06-strokes/p136.2-brush-top.svg,^,⺻,349,
04-strokes/p137-taskmaster.svg,,攵,351,
03-strokes/p143-arrow.svg,,弋,377,
04-strokes/p144.1-quiver.svg,,,379,
04-strokes/p144.2-fiesta.svg,,戈,380,
06-strokes/p145.1-thanksgiving.svg,,𢦏,382,
05-strokes/p145.2-parade.svg,,戊,384,
06-strokes/p147-march.svg,,戌,389,
06-strokes/p148-float.svg,,㦮,393,
05-strokes/p152-mending.svg,,!𤴓,408,
03-strokes/p154-stretch.svg,,廴,417,
05-strokes/p155.1-zoo.svg,,疋,421,2238
05-strokes/p155.2-zoo-left.svg,^,⺪,421,2238
05-strokes/p156.1-cloak.svg,423,⻂,424,
04-strokes/p156.2-scarf.svg,423,!𧘇,424,
06-strokes/p156.3-top_hat_and_scarf.svg,423,,424,
04-strokes/p156.4-unhooked_scarf.svg,423,,424,
05-strokes/p160-apron.svg,,,444,
05-strokes/p161.1-buckle.svg,,丗,444,
02-strokes/p161.2-belt.svg,,~冂,446,
04-strokes/p162-rising_cloud.svg,,云,449,
08-strokes/p163-rain-top.svg,451,⻗,452,
02-strokes/p164.1-ice-left.svg,,冫,456,
02-strokes/p164.2-ice-bottom.svg,^,⺀,456,
04-strokes/p164.3-witch.svg,457,夭,458,
12-strokes/p165-angel.svg,,喬,460,
11-strokes/p167-antique.svg,,啇,472,
08-strokes/p171-siesta.svg,,~曷,488,
02-strokes/p173-reclining.svg,,𠂉,497,
09-strokes/p175-double_back.svg,,复,503,
08-strokes/p178-muzzle.svg,,咅,515,
12-strokes/p179-kazoo.svg,,戠,521,
11-strokes/p180-mirror.svg,,竟,522,
07-strokes/p183-devil.svg,,兑,537,
04-strokes/p185-porter.svg,,壬,546,
03-strokes/p191-scorpion.svg,,也,554,2236
07-strokes/p193-gnats.svg,563,䖝,563,
05-strokes/p195.1-eel.svg,573,~电,574,
09-strokes/p195.2-bucket_of_eels.svg,573,,574,
07-strokes/p196-sow.svg,,豕,577,
05-strokes/p197.1-piglets.svg,,,583,
09-strokes/p197.2-piggy_bank.svg,,昜,583,
06-strokes/p198-sheep-above.svg,586,⺷,587,
07-strokes/p199-wool.svg,,⺶,593,
08-strokes/p200-turkey.svg,,隹,595,
10-strokes/p202-turkey_coop.svg,609,隺,609,
11-strokes/p203-pegasus.svg,,!!𮥶,612,
06-strokes/p204-wings.svg,615,,616,
03-strokes/p206-pent_in.svg,,囗,620,
03-strokes/p208-cave.svg,,广,632,
03-strokes/p209.1-state_of_mind.svg,639,⺖,640,
04-strokes/p209.2-valentine.svg,639,⺗,640,
03-strokes/p216-finger.svg,,扌,694,
04-strokes/p219.1-two_hands.svg,,开,729,
04-strokes/p219.2-two_hands-bottom.svg,^,廾,729,
03-strokes/p221-genie_in_the_bottle.svg,736,,737,
02-strokes/p222-arm.svg,,~乂,746,
04-strokes/p225-missile.svg,,殳,762,
05-strokes/p226-spool.svg,,圣,772,
04-strokes/p227-vulture.svg,784,⺤~爫,785,
07-strokes/p228-fledgeling.svg,,孚,786,
06-strokes/p229.1-birdhouse.svg,,,794,
02-strokes/p229.2-elbow.svg,,厶,798,
03-strokes/p231-wall.svg,,!!𠫔,814,
04-strokes/p232-infant.svg,,,820,
05-strokes/p237-gully.svg,,㕣,857,
08-strokes/p238-outhouse.svg,,!!𫩠,859,
04-strokes/p240-bone.svg,,歹,871,
